Date,Price
2020-03-09,33.860001
2020-03-10,35.139999
2020-03-11,33.060001
2020-03-12,29.540001
2020-03-13,31.400000
2020-03-16,27.730000
2020-03-17,28.680000
2020-03-18,26.129999
2020-03-19,26.629999
2020-03-20,25.360001
2020-03-23,24.139999
2020-03-24,26.860001
2020-03-25,28.090000
2020-03-26,29.700001
2020-03-27,28.660000
2020-03-30,29.330000
2020-03-31,28.790001
2020-04-01,27.330000
2020-04-02,27.750000
2020-04-03,27.170000
2020-04-06,29.370001
2020-04-07,29.799999
2020-04-08,31.209999
2020-04-09,31.959999
2020-04-13,31.280001
2020-04-14,31.790001
2020-04-15,30.750000
2020-04-16,30.420000
2020-04-17,31.750000
2020-04-20,31.040001
2020-04-21,30.230000
2020-04-22,30.670000
2020-04-23,30.629999
2020-04-24,30.870001
2020-04-27,31.889999
2020-04-28,32.279999
2020-04-29,33.470001
2020-04-30,32.470001
2020-05-01,31.370001
2020-05-04,31.430000
2020-05-05,31.559999
2020-05-06,31.180000
2020-05-07,31.850000
2020-05-08,32.650002
2020-05-11,32.240002
2020-05-12,31.270000
2020-05-13,30.370001
2020-05-14,30.830000
2020-05-15,30.969999
2020-05-18,32.840000
2020-05-19,32.419998
2020-05-20,33.139999
2020-05-21,32.970001
2020-05-22,32.919998
2020-05-26,34.040001
2020-05-27,34.910000
2020-05-28,34.470001
2020-05-29,34.299999
2020-06-01,34.669998
2020-06-02,35.160000
2020-06-03,36.250000
2020-06-04,36.439999
2020-06-05,37.500000
2020-06-08,38.220001
2020-06-09,37.189999
2020-06-10,36.290001
2020-06-11,33.910000
2020-06-12,34.520000
2020-06-15,34.889999
2020-06-16,35.520000
2020-06-17,35.130001
2020-06-18,35.080002
2020-06-19,34.709999
2020-06-22,34.750000
2020-06-23,34.840000
2020-06-24,33.599998
2020-06-25,33.930000
2020-06-26,33.320000
2020-06-29,33.970001
2020-06-30,34.419998
2020-07-01,34.180000
2020-07-02,34.380001
2020-07-06,34.610001
2020-07-07,33.889999
2020-07-08,33.869999
2020-07-09,33.250000
2020-07-10,33.790001
2020-07-13,33.810001
2020-07-14,34.340000
2020-07-15,35.240002
2020-07-16,35.330002
2020-07-17,35.470001
2020-07-20,35.180000
2020-07-21,35.360001
2020-07-22,35.570000
2020-07-23,35.590000
2020-07-24,35.380001
2020-07-27,35.560001
2020-07-28,35.189999
2020-07-29,36.029999
2020-07-30,35.639999
2020-07-31,35.669998
2020-08-03,36.110001
2020-08-04,36.189999
2020-08-05,36.459999
2020-08-06,36.419998
2020-08-07,37.009998
2020-08-10,37.419998
2020-08-11,37.470001
2020-08-12,37.570000
2020-08-13,37.279999
2020-08-14,37.330002
2020-08-17,37.270000
2020-08-18,36.939999
2020-08-19,36.750000
2020-08-20,36.529999
2020-08-21,36.480000
2020-08-24,37.080002
2020-08-25,37.049999
2020-08-26,36.799999
2020-08-27,37.110001
2020-08-28,37.349998
2020-08-31,36.980000
2020-09-01,37.160000
2020-09-02,37.770000
2020-09-03,37.000000
2020-09-04,37.000000
2020-09-08,36.299999
2020-09-09,36.790001
2020-09-10,36.340000
2020-09-11,36.540001
2020-09-14,37.200001
2020-09-15,37.160000
2020-09-16,37.459999
2020-09-17,37.290001
2020-09-18,36.889999
2020-09-21,35.880001
2020-09-22,35.970001
2020-09-23,35.090000
2020-09-24,35.230000
2020-09-25,35.619999
2020-09-28,36.310001
2020-09-29,36.110001
2020-09-30,36.330002
2020-10-01,36.490002
2020-10-02,36.810001
2020-10-05,37.529999
2020-10-06,37.189999
2020-10-07,37.790001
2020-10-08,38.389999
2020-10-09,38.430000
2020-10-12,38.639999
2020-10-13,38.110001
2020-10-14,38.000000
2020-10-15,38.209999
2020-10-16,38.189999
2020-10-19,37.689999
2020-10-20,37.889999
2020-10-21,37.740002
2020-10-22,38.240002
2020-10-23,38.419998
2020-10-26,37.630001
2020-10-27,37.020000
2020-10-28,36.040001
2020-10-29,36.560001
2020-10-30,36.549999
2020-11-02,37.450001
2020-11-03,38.180000
2020-11-04,37.880001
2020-11-05,38.689999
2020-11-06,38.610001
2020-11-09,40.310001
2020-11-10,40.610001
2020-11-11,40.599998
2020-11-12,39.980000
2020-11-13,40.849998
2020-11-16,41.759998
2020-11-17,41.639999
2020-11-18,41.290001
2020-11-19,41.389999
2020-11-20,41.130001
2020-11-23,41.700001
2020-11-24,42.470001
2020-11-25,41.990002
2020-11-27,41.919998
2020-11-30,41.299999
2020-12-01,41.830002
2020-12-02,41.750000
2020-12-03,41.930000
2020-12-04,42.799999
2020-12-07,42.500000
2020-12-08,42.580002
2020-12-09,42.660000
2020-12-10,42.580002
2020-12-11,42.389999
2020-12-14,42.130001
2020-12-15,42.779999
2020-12-16,42.410000
2020-12-17,42.730000
2020-12-18,42.549999
2020-12-21,42.349998
2020-12-22,42.299999
2020-12-23,42.630001
2020-12-24,42.810001
2020-12-28,42.779999
2020-12-29,42.599998
2020-12-30,42.980000
2020-12-31,43.270000
2021-01-04,42.580002
2021-01-05,42.990002
2021-01-06,44.189999
2021-01-07,44.680000
2021-01-08,44.720001
2021-01-11,44.560001
2021-01-12,44.860001
2021-01-13,44.590000
2021-01-14,44.860001
2021-01-15,44.450001
2021-01-19,44.619999
2021-01-20,44.959999
2021-01-21,44.639999
2021-01-22,44.529999
2021-01-25,44.380001
2021-01-26,43.970001
2021-01-27,42.959999
2021-01-28,43.470001
2021-01-29,42.590000
2021-02-01,43.290001
2021-02-02,43.939999
2021-02-03,44.209999
2021-02-04,44.650002
2021-02-05,44.919998
2021-02-08,45.439999
2021-02-09,45.450001
2021-02-10,45.470001
2021-02-11,45.630001
2021-02-12,45.799999
2021-02-16,45.930000
2021-02-17,45.810001
2021-02-18,45.529999
2021-02-19,46.040001
2021-02-22,46.320000
2021-02-23,46.480000
2021-02-24,47.060001
2021-02-25,46.000000
2021-02-26,45.540001
2021-03-01,46.360001
2021-03-02,46.189999
2021-03-03,46.000000
2021-03-04,45.389999
2021-03-05,46.759998
